Latitude,Longitude,CO,CO2,EC,NMVOC,NH3,NO2,OC,SO2,SO4
-86.0,-179.0,0.0002586017673825782,0.1336594224,1.5398399999999998e-05,0.00011728952847286566,5.731875e-07,0.002878286404283527,4.1519568e-05,8.0712e-05,1.9248e-06
-86.0,-165.0,0.0005464737880693089,0.2554625120036003,3.0224636124778277e-05,0.0002137990329957426,1.032165757224e-06,0.005100372983314689,0.00016505918050971496,0.00015484318062389135,3.778079515597284e-06
-84.0,-166.0,0.0012793,0.7847899272500002,9.524600000000004e-05,0.0005755,3.4890000000000017e-06,0.01534456,0.00024354176000008086,0.00047743,1.1905750000000005e-05
-84.0,-153.0,0.04090728436009251,24.90743249724908,0.003012138836906297,0.015008949800218713,0.000110333651575902,0.4885205751240681,0.007818211240087731,0.015144694184531491,0.0003765173546132872
-82.0,-171.0,0.0009339000000000001,0.57634622675,6.921800000000001e-05,0.0003396,2.5470000000000003e-06,0.01130444,0.00017623808000004758,0.00035009000000000017,8.652250000000003e-06
-77.0,-142.0,0.3903217477387708,245.84752961596303,0.028276905876598837,0.14287803891420373,0.0010596614549822393,4.886937511937516,0.07106684131807106,0.14842452938299425,0.0035346132345748546
-75.0,-161.0,0.0037092000000000006,2.279783394,0.0002757600000000001,0.0013488,1.0116e-05,0.044620296,0.00070416000000022,0.0013862400000000002,3.4470000000000014e-05
-74.0,-98.0,0.005939874719251743,6.640366998164076,0.0006565288306576482,0.002287796696391888,2.8114270351355e-05,0.07223722811330344,0.0016453396814548546,0.0040416041532882405,0.00011706610383220602
-73.0,176.0,0.00112085508255006,0.6973467364774399,8.020020224e-05,0.0004207045227450123,3.0058653e-06,0.013937000769227598,0.0002016681851648,0.00042100101119999997,1.002502528e-05
-72.0,-0.0,0.0006138000000000001,0.388201716,4.464000000000002e-05,0.0002232,1.6740000000000004e-06,0.007710443999999999,0.0001116,0.00023436,5.58e-06
-72.0,176.0,0.00447735155783991,2.6671182362000234,0.0003068544815300608,0.0018152048776495261,1.1483627388576006e-05,0.05420511177416998,0.0007837849673492317,0.0016102724076503044,3.83568101912576e-05
-72.0,177.0,0.0053794,3.472889080500001,0.00041306800000000016,0.002399,1.5362e-05,0.059710680000000016,0.0010541900800003208,0.0021129400000000007,5.363350000000002e-05
-71.0,-74.0,0.003579443725000001,2.2067314380942644,0.00026814165367914,0.0013016158999999998,9.76211925e-06,0.039058799724,0.0006859671658774095,0.0013427082683957006,3.35177067098925e-05
-70.0,-85.0,0.024081200000000004,14.764973314,0.0017935840000000004,0.010868000000000001,6.567599999999999e-05,0.2886119600000001,0.004587831040001548,0.008983520000000005,0.0002241980000000001
-70.0,-9.0,0.0004400403743133802,0.2782839841209839,3.20003875807232e-05,0.00016003206627018368,1.200011354904e-06,0.0055274303790616855,8.000322951637608e-05,0.000168001937903616,4.0000484475904e-06
-70.0,-0.0,0.0008765000000000001,1.38965673,0.00012919999999999994,0.000346,5.845e-06,0.010472069999999998,0.000323,0.0008483000000000003,2.615e-05
-70.0,4.0,0.00424270000591651,3.094101743716963,0.00034382253174285583,0.0015564448364761006,1.3298224624172004e-05,0.052552901333476884,0.0008631671758325889,0.0018750326587142784,4.797781646785697e-05
-70.0,5.0,0.0021062000000000008,2.5850426840000003,0.0002513600000000001,0.0008067999999999999,1.0925999999999997e-05,0.025650156,0.0006284,0.00157464,4.6419999999999986e-05
-69.0,-0.0,0.0002046,0.129400572,1.4880000000000007e-05,7.44e-05,5.580000000000001e-07,0.0025701479999999995,3.72e-05,7.811999999999999e-05,1.86e-06
-69.0,4.0,0.0015400081922681188,0.9739834460833792,0.00011200007864320002,0.0005600065065003195,4.2000023039999995e-06,0.01934524674573718,0.000280000655294464,0.0005880003932159999,1.40000098304e-05
-68.0,5.0,0.000364,0.64786848,5.920000000000001e-05,0.000146,2.72e-06,0.004303319999999999,0.000148,0.0003958,1.24e-05
-68.0,8.0,0.0009447929914500001,0.6051906374475383,7.223263763949163e-05,0.00034356108780000017,2.5767081585e-06,0.011504507788620002,0.00018348107413345256,0.000367283188197458,9.029079704936454e-06
-68.0,36.0,0.0047003,2.8836218722500004,0.00034992600000000013,0.0021135000000000004,1.2819000000000004e-05,0.05638402,0.0008947065600002967,0.0017542300000000007,4.374075000000001e-05
-68.0,147.0,0.0034210000000000004,2.098831945,0.0002546800000000001,0.001538,9.33e-06,0.04103946,0.0006511648000002157,0.0012768000000000007,3.1835e-05
