CIESINCODE_GPW,ISOCODE_GPW,Location_GPW,location_id_GBD,ISOCODE_GBD,Location_GBD,GBD_GPW,location_name_GBD,cause_id_GBD,cause_name_GBD,num_val,num_upper,num_lower,pop_25plus_GBD,rate_country_25plus_val,rate_country_25plus_val_upper,rate_country_25plus_val_lower
4,AFG,Afghanistan,160,AFG,Afghanistan,Y,Afghanistan,322,Lower respiratory infections,3206.3877678999997,4370.424500900001,2230.00785593,9483107.991501115,33.81157075057677,46.086414968772175,23.51558010230994
8,ALB,Albania,43,ALB,Albania,Y,Albania,322,Lower respiratory infections,281.056733619,400.004392846,209.23130883200002,1784176.817115103,15.752739914727194,22.419548836688783,11.727050078495772
12,DZA,Algeria,139,DZA,Algeria,Y,Algeria,322,Lower respiratory infections,3537.73826102,4692.60907717,2717.20110475,21727276.78963442,16.282474307630547,21.597778325393886,12.505944168973414
16,ASM,American Samoa,298,ASM,American Samoa,Y,American Samoa,322,Lower respiratory infections,11.319705529,14.266489069999999,8.875023987,26535.112149512544,42.65934685038799,53.76457046653966,33.446340595786914
20,AND,Andorra,74,AND,Andorra,Y,Andorra,322,Lower respiratory infections,29.469697933,36.048943936,21.089788806,58398.97353920976,50.46269848084521,61.728728693829375,36.113286806043035
24,AGO,Angola,168,AGO,Angola,Y,Angola,322,Lower respiratory infections,5425.8820703,7176.6982162,4041.2598841000004,9066375.41240148,59.84621001771208,79.15730255757249,44.57415119356458
28,ATG,Antigua and Barbuda,105,ATG,Antigua and Barbuda,Y,Antigua and Barbuda,322,Lower respiratory infections,29.560591817000002,34.363092463,25.067282598,55206.6100060685,53.545384898204404,62.244525536385396,45.406306591266
32,ARG,Argentina,97,ARG,Argentina,Y,Argentina,322,Lower respiratory infections,30651.348283799998,33850.3791768,27704.868669800002,25625737.407821607,119.61157564365135,132.09523939969833,108.11344949372577
51,ARM,Armenia,33,ARM,Armenia,Y,Armenia,322,Lower respiratory infections,399.351403931,453.229248233,352.185328496,2021279.0889094034,19.757360877189555,22.42289304430213,17.423884233919637
36,AUS,Australia,71,AUS,Australia,Y,Australia,322,Lower respiratory infections,4157.377527156999,4556.299154698,3803.9899394780005,15840093.369112594,26.245915540268733,28.764345313661853,24.0149464453006
40,AUT,Austria,75,AUT,Austria,Y,Austria,322,Lower respiratory infections,908.5656906739999,991.8851803,830.8233715790001,6403922.751221358,14.187642886552904,15.488712447551425,12.973663235093602
31,AZE,Azerbaijan,34,AZE,Azerbaijan,Y,Azerbaijan,322,Lower respiratory infections,893.08027397,1166.79538572,648.07893374,5955914.563491708,14.99484696178086,19.5905326257057,10.881266459269995
48,BHR,Bahrain,140,BHR,Bahrain,Y,Bahrain,322,Lower respiratory infections,79.866538506,103.062938503,53.728676816,992310.4208863402,8.048543764627858,10.38615904194005,5.414502930243248
50,BGD,Bangladesh,161,BGD,Bangladesh,Y,Bangladesh,322,Lower respiratory infections,15530.3056913,20533.2555272,11951.01643,77145349.06338473,20.131227455513717,26.61632331241293,15.491557916447714
52,BRB,Barbados,107,BRB,Barbados,Y,Barbados,322,Lower respiratory infections,169.508808236,194.65435917399998,147.87119435,200736.63361564904,84.44338493817673,96.97002269486356,73.66427925314787
112,BLR,Belarus,57,BLR,Belarus,Y,Belarus,322,Lower respiratory infections,1110.5389366999998,1335.6323429599997,925.8695197300001,6952681.575075152,15.972814585399675,19.21031947943859,13.316725492638318
56,BEL,Belgium,76,BEL,Belgium,Y,Belgium,322,Lower respiratory infections,5499.103939981,5997.276081201,5032.597016098,7987096.481193273,68.8498499164171,75.08706192948111,63.00909257760875
84,BLZ,Belize,108,BLZ,Belize,Y,Belize,322,Lower respiratory infections,81.32749028199999,95.91420653700001,68.592665152,177413.84055425235,45.84055563417579,54.062414881137684,38.662522009394564
204,BEN,Benin,200,BEN,Benin,Y,Benin,322,Lower respiratory infections,3136.63414316,4188.6323863,2322.15943895,3789770.4684933084,82.76580783023056,110.52469855688295,61.274408523036925
60,BMU,Bermuda,305,BMU,Bermuda,Y,Bermuda,322,Lower respiratory infections,15.477640178,18.118763211,13.176627346,48990.840209009955,31.592926579678238,36.98398135998443,26.89610402635363
64,BTN,Bhutan,162,BTN,Bhutan,Y,Bhutan,322,Lower respiratory infections,107.972995806,144.400057414,76.839818694,480791.2458675773,22.457354773830186,30.03383665054742,15.981950452393164
68,BOL,Bolivia (Plurinational State of),121,BOL,Bolivia,Y,Bolivia,322,Lower respiratory infections,3718.3408495599997,4843.675222509999,2780.6656126,5346740.950996471,69.5440621425097,90.591170713204,52.00673902261467
70,BIH,Bosnia and Herzegovina,44,BIH,Bosnia and Herzegovina,Y,Bosnia and Herzegovina,322,Lower respiratory infections,344.95271708100006,488.731767256,269.992112804,2523871.7488935213,13.667600868872562,19.36436617551041,10.697536945859708
72,BWA,Botswana,193,BWA,Botswana,Y,Botswana,322,Lower respiratory infections,605.80754661,781.95787062,458.93320213,1090492.950737795,55.553549997744476,71.70682488969328,42.084930656314604
76,BRA,Brazil,135,BRA,Brazil,Y,Brazil,322,Lower respiratory infections,72428.7325321,76449.6447651,68644.2958284,125548093.49572513,57.690029784933515,60.89271659684987,54.67569750928741
96,BRN,Brunei Darussalam,66,BRN,Brunei,Y,Brunei,322,Lower respiratory infections,77.167396892,96.828908135,60.917491604000006,247903.14629073636,31.12804256284003,39.05916870512034,24.57310143718671
100,BGR,Bulgaria,45,BGR,Bulgaria,Y,Bulgaria,322,Lower respiratory infections,1445.826808719,1662.90891376,1251.531551903,5466518.120400291,26.448770074014277,30.41989209830392,22.894491966146735
