CIESINCODE_GPW,ISOCODE_GPW,Location_GPW,location_id_GBD,ISOCODE_GBD,Location_GBD,GBD_GPW,location_name_GBD,cause_id_GBD,cause_name_GBD,num_val,num_upper,num_lower,pop_25plus_GBD,rate_country_25plus_val,rate_country_25plus_val_upper,rate_country_25plus_val_lower
643,RUS,Russian Federation,62,RUS,Russian Federation,Y,Russian Federation,409,Non-communicable diseases,1621057.8400329999,1624190.8338239999,1617527.067208,105140097.86921479,1541.8074292164497,1544.787256945826,1538.4492691076473
646,RWA,Rwanda,185,RWA,Rwanda,Y,Rwanda,409,Non-communicable diseases,23417.383954800003,26676.364938500003,20384.23354,4621370.593831671,506.7194564758802,577.2392496309649,441.08632117077246
662,LCA,Saint Lucia,116,LCA,Saint Lucia,Y,Saint Lucia,409,Non-communicable diseases,1023.9052908820001,1062.740673181,987.3795371540001,107726.95086804184,950.4634472911188,986.5132769633336,916.5575830355326
670,VCT,Saint Vincent and the Grenadines,117,VCT,Saint Vincent and the Grenadines,Y,Saint Vincent and the Grenadines,409,Non-communicable diseases,782.394360558,808.457946689,756.3914520860001,67564.25545048431,1158.0004180337514,1196.5764164773384,1119.51422692778
882,WSM,Western Samoa,27,WSM,Samoa,Y,Samoa,409,Non-communicable diseases,822.695799064,902.789341959,724.18354982,85826.10048881095,958.5613168703311,1051.8820461576204,843.7800921811787
678,STP,Sao Tome and Principe,215,STP,Sao Tome and Principe,Y,Sao Tome and Principe,409,Non-communicable diseases,594.0656652299999,660.4635996500001,530.47148146,79052.84455576375,751.4791764525905,835.4710110198629,671.0340209020642
682,SAU,Saudi Arabia,152,SAU,Saudi Arabia,Y,Saudi Arabia,409,Non-communicable diseases,57986.557049099996,66841.756783,51000.272571600006,19212408.7052314,301.81825682955974,347.9093007468631,265.4548596903053
686,SEN,Senegal,216,SEN,Senegal,Y,Senegal,409,Non-communicable diseases,35402.709254400004,39719.717694599996,31291.931614800003,5332760.405024786,663.8721143564195,744.8247188674397,586.7867527915791
688,SRB,Serbia,53,SRB,Serbia,Y,Serbia,409,Non-communicable diseases,119772.71622100001,120898.4949879,118679.29659330001,6271525.410575982,1909.7860309873156,1927.7366680843375,1892.3513630856899
690,SYC,Seychelles,186,SYC,Seychelles,Y,Seychelles,409,Non-communicable diseases,562.129263437,583.556010268,540.9262934369999,62195.90153814199,903.8043497002307,938.2547657262127,869.7137272064041
694,SLE,Sierra Leone,217,SLE,Sierra Leone,Y,Sierra Leone,409,Non-communicable diseases,18870.4474735,21676.8322074,16339.233312800001,2756891.5722801136,684.4827581627744,786.2780105447515,592.6686953192897
702,SGP,Singapore,69,SGP,Singapore,Y,Singapore,409,Non-communicable diseases,14856.74480941,15161.32970619,14569.79079738,3772808.924349544,393.7847133875564,401.8578732768426,386.17886804039307
703,SVK,Slovakia,54,SVK,Slovakia,Y,Slovakia,409,Non-communicable diseases,48509.63411487,49158.895626900005,47844.54913858,3942942.0923061147,1230.2903004720035,1246.7567231794765,1213.4225666651137
705,SVN,Slovenia,55,SVN,Slovenia,Y,Slovenia,409,Non-communicable diseases,17248.42718919,17570.518524400002,16914.53116178,1558147.1744673746,1106.9831830928342,1127.6546151942403,1085.5541401319767
90,SLB,Solomon Islands,28,SLB,Solomon Islands,Y,Solomon Islands,409,Non-communicable diseases,2359.46863821,2643.3651218200002,2095.00696484,251685.39861681228,937.4674300443866,1050.265584077243,832.391142415703
706,SOM,Somalia,187,SOM,Somalia,Y,Somalia,409,Non-communicable diseases,37868.3526757,47662.984294400005,29390.2754555,5386349.162533824,703.0430358860383,884.884786636791,545.6437109560559
710,ZAF,South Africa,196,ZAF,South Africa,Y,South Africa,409,Non-communicable diseases,208234.060486,216873.737181,197919.68825900002,28940793.97050436,719.5174420516116,749.3703780277473,683.8778799942883
410,KOR,Republic of Korea,68,KOR,South Korea,Y,South Korea,409,Non-communicable diseases,229225.9627812,236293.031884,222212.0257815,37812986.03434525,606.209630133404,624.8991594299822,587.6606136835279
728,SSD,South Sudan,435,SSD,South Sudan,Y,South Sudan,409,Non-communicable diseases,19856.1568974,25619.474246800004,15297.264995300002,3333576.8429350336,595.6411936170558,768.5280842136954,458.8844270297843
724,ESP,Spain,92,ESP,Spain,Y,Spain,409,Non-communicable diseases,383227.71600909997,385546.6482011,380794.3431862,35172955.23954603,1089.5522238581343,1096.1451648726352,1082.633917431144
144,LKA,Sri Lanka,17,LKA,Sri Lanka,Y,Sri Lanka,409,Non-communicable diseases,97773.997033,107177.10184880001,87520.4302071,12797183.383917354,764.0274746384883,837.5053996920373,683.9038527578642
729,SDN,Sudan,522,SDN,Sudan,Y,Sudan,409,Non-communicable diseases,98859.271484,115391.256963,82498.8686399,14546530.204115162,679.6072334558042,793.2562291064863,567.137781191018
740,SUR,Suriname,118,SUR,Suriname,Y,Suriname,409,Non-communicable diseases,3037.20896857,3243.3401178700005,2833.7973505,323679.86493063904,938.3373195675423,1002.0209686398047,875.493862155204
748,SWZ,Swaziland,197,SWZ,Swaziland,Y,Swaziland,409,Non-communicable diseases,3965.43225511,4742.7286194,3232.4464858499996,448636.79768843134,883.8847538903635,1057.1421345365707,720.5040920639917
752,SWE,Sweden,93,SWE,Sweden,Y,Sweden,409,Non-communicable diseases,81807.01209199999,82623.2934825,80950.51889549999,6957634.90027924,1175.7876529094208,1187.5198205525842,1163.4775330371401
756,CHE,Switzerland,94,CHE,Switzerland,Y,Switzerland,409,Non-communicable diseases,57574.68576845,58303.136162309995,56864.723996140005,6211207.124133427,926.9484114407583,938.6764118004569,915.5180765940669
760,SYR,Syrian Arab Republic,153,SYR,Syria,Y,Syria,409,Non-communicable diseases,57897.2532389,65538.3849489,51013.275018299995,8249716.095917285,701.8090388292617,794.4320045308515,618.3640070177207
158,TWN,Taiwan,8,TWN,Taiwan (Province of China),Y,Taiwan (Province of China),409,Non-communicable diseases,138453.9849486,139902.2306939,136968.1177536,17207058.827365175,804.6348091075871,813.0513883721201,795.9995902133683
762,TJK,Tajikistan,39,TJK,Tajikistan,Y,Tajikistan,409,Non-communicable diseases,28122.923303800002,29752.366631599998,26564.737096700002,3974386.270745239,707.6041780540536,748.6027931054904,668.3984717901824
834,TZA,United Republic of Tanzania,189,TZA,Tanzania,Y,Tanzania,409,Non-communicable diseases,103171.22055200001,115570.64746800001,91870.27775100002,18514843.418852195,557.2351773007648,624.2053732429819,496.197973013673
764,THA,Thailand,18,THA,Thailand,Y,Thailand,409,Non-communicable diseases,307100.175886,323667.534288,292278.455623,48460341.765731834,633.7144244062313,667.9018811973748,603.1291670123575
44,BHS,Bahamas,106,BHS,The Bahamas,Y,The Bahamas,409,Non-communicable diseases,1816.1975960199998,1906.49382214,1727.51338897,220460.25360293264,823.8208776132152,864.778929980619,783.5940314581131
270,GMB,Gambia,206,GMB,The Gambia,Y,The Gambia,409,Non-communicable diseases,5537.6630608,6362.5202107000005,4825.78725992,740469.1115721591,747.8587525470806,859.25531683437,651.7202655049203
626,TLS,Timor-Leste,19,TLS,Timor-Leste,Y,Timor-Leste,409,Non-communicable diseases,4189.2539178199995,4722.27237516,3460.0616201049997,485669.0211891795,862.5738383647465,972.3231602454963,712.432020397946
768,TGO,Togo,218,TGO,Togo,Y,Togo,409,Non-communicable diseases,15777.482441300002,18608.175136500002,13342.745809900001,2861366.1004068996,551.3968463894352,650.3248617453681,466.30683882089056
776,TON,Tonga,29,TON,Tonga,Y,Tonga,409,Non-communicable diseases,542.9209514409999,602.2386007,485.000788651,47837.60605605545,1134.9250019008323,1258.9229485988599,1013.8483687554991
780,TTO,Trinidad and Tobago,119,TTO,Trinidad and Tobago,Y,Trinidad and Tobago,409,Non-communicable diseases,8736.73510503,10081.13067967,7595.69497143,907669.9343441251,962.5453895135454,1110.6604172093175,836.8344795863034
788,TUN,Tunisia,154,TUN,Tunisia,Y,Tunisia,409,Non-communicable diseases,52969.6202356,62438.7432968,44800.811927300005,6856177.350145402,772.5824104371607,910.6932348457384,653.4371799228602
792,TUR,Turkey,155,TUR,Turkey,Y,Turkey,409,Non-communicable diseases,335368.636957,351717.692488,319604.027835,47199345.33533374,710.5366283670483,745.1749383157265,677.1365695103028
795,TKM,Turkmenistan,40,TKM,Turkmenistan,Y,Turkmenistan,409,Non-communicable diseases,25541.8032775,26136.3033907,24948.9225167,2612243.9972797474,977.7724938442917,1000.5307091495649,955.076269394455
800,UGA,Uganda,190,UGA,Uganda,Y,Uganda,409,Non-communicable diseases,60154.18719999999,68111.843948,52636.122482000006,11538084.39002183,521.3533301248993,590.3219429293074,456.1946394456941
804,UKR,Ukraine,63,UKR,Ukraine,Y,Ukraine,409,Non-communicable diseases,666937.197684,670589.789952,663211.948961,33502280.409577806,1990.7217942493626,2001.6243125954145,1979.602405725783
784,ARE,United Arab Emirates,156,ARE,United Arab Emirates,Y,United Arab Emirates,409,Non-communicable diseases,14754.5927622,17975.869358099997,11941.382930099999,7748982.5037595015,190.40684057605824,231.9771576381649,154.10259249271127
826,GBR,United Kingdom of Great Britain and Northern Ireland,95,GBR,United Kingdom,Y,United Kingdom,409,Non-communicable diseases,529114.525669,530758.200604,527603.35143,46051502.984841615,1148.9625557783947,1152.5317659636542,1145.6810684412771
840,USA,United States of America,102,USA,United States,Y,United States,409,Non-communicable diseases,2379552.2263,2385242.98231,2373733.67344,215193479.27303168,1105.773387901261,1108.4178713815338,1103.0695174681714
858,URY,Uruguay,99,URY,Uruguay,Y,Uruguay,409,Non-communicable diseases,27634.58804414,28047.36553609,27215.02486682,2166586.064820699,1275.489974427901,1294.541952036931,1256.1247996890556
860,UZB,Uzbekistan,41,UZB,Uzbekistan,Y,Uzbekistan,409,Non-communicable diseases,160580.00631,169635.008607,151628.382682,16173307.920252288,992.870519140497,1048.857843079722,937.5223883057978
548,VUT,Vanuatu,30,VUT,Vanuatu,Y,Vanuatu,409,Non-communicable diseases,1465.9867860300003,1775.44955874,1205.05144202,116620.96292614818,1257.0525480554954,1522.4103061679639,1033.3060298799928
862,VEN,Venezuela (Bolivarian Republic of),133,VEN,Venezuela,Y,Venezuela,409,Non-communicable diseases,117716.18748320002,123056.80169600001,112416.53446170001,16634904.508343397,707.64570619662,739.7505746683408,675.7870741326853
704,VNM,Viet Nam,20,VNM,Vietnam,Y,Vietnam,409,Non-communicable diseases,440834.211843,489180.899236,400431.11465,56347628.69599803,782.3474067051723,868.1481555775621,710.6441280969821
850,VIR,United States Virgin Islands,422,VIR,"Virgin Islands, U.S.",Y,"Virgin Islands, U.S.",409,Non-communicable diseases,1070.3769147570001,1163.631387831,944.1810829350001,72116.21775800054,1484.238841183893,1613.5502165903692,1309.2493093625296
887,YEM,Yemen,157,YEM,Yemen,Y,Yemen,409,Non-communicable diseases,72213.9722852,90516.756276,57329.7446089,10919519.553979639,661.3292089291739,828.9444954838788,525.0207605334253
894,ZMB,Zambia,191,ZMB,Zambia,Y,Zambia,409,Non-communicable diseases,31024.5214141,34748.8483202,27377.7927654,5622658.66399904,551.7767175294655,618.0145443060801,486.9189897778343
716,ZWE,Zimbabwe,198,ZWE,Zimbabwe,Y,Zimbabwe,409,Non-communicable diseases,39899.7703394,45167.021958,34805.401310199995,5469103.779885838,729.5486051323909,825.857832943569,636.4004544621482
533,ABW,Aruba,104,ABW,Caribbean,N,Caribbean,409,Non-communicable diseases,250161.14455,258882.235384,241685.341418,26417594.687131744,946.9489842383562,979.9614175703283,914.8650521757274
660,AIA,Anguilla,104,AIA,Caribbean,N,Caribbean,409,Non-communicable diseases,250161.14455,258882.235384,241685.341418,26417594.687131744,946.9489842383562,979.9614175703283,914.8650521757274
248,ALA,Aland Islands,44562,ALA,Europe,N,Europe,409,Non-communicable diseases,7861157.42246,7881652.4174,7840274.37909,602975377.6112709,1303.7277663977795,1307.1267434872243,1300.2644337070271
902,ATF,French Southern Territories,1,ATF,N,N,Global,409,Non-communicable diseases,38152106.8382,38593829.2535,37618320.252299994,4292110023.370464,888.8893022420779,899.1808001975083,876.452841317415
535,BES,Bonaire Saint Eustatius and Saba,104,BES,Caribbean,N,Caribbean,409,Non-communicable diseases,250161.14455,258882.235384,241685.341418,26417594.687131744,946.9489842383562,979.9614175703283,914.8650521757274
652,BLM,Saint-Barthelemy,104,BLM,Caribbean,N,Caribbean,409,Non-communicable diseases,250161.14455,258882.235384,241685.341418,26417594.687131744,946.9489842383562,979.9614175703283,914.8650521757274
903,BVT,Bouvet Island,1,BVT,N,N,Global,409,Non-communicable diseases,38152106.8382,38593829.2535,37618320.252299994,4292110023.370464,888.8893022420779,899.1808001975083,876.452841317415
184,COK,Cook Islands,1,COK,N,N,Global,409,Non-communicable diseases,38152106.8382,38593829.2535,37618320.252299994,4292110023.370464,888.8893022420779,899.1808001975083,876.452841317415
531,CUW,Curacao,104,CUW,Caribbean,N,Caribbean,409,Non-communicable diseases,250161.14455,258882.235384,241685.341418,26417594.687131744,946.9489842383562,979.9614175703283,914.8650521757274
136,CYM,Cayman Islands,105,CYM,Caribbean,N,Antigua and Barbuda,409,Non-communicable diseases,446.12236469699997,467.13038950399994,421.99985029600003,55206.6099837505,808.0959233474243,846.1493825494719,764.400948401308
732,ESH,Western Sahara,199,ESH,Western Sub-Saharan Africa,N,Western Sub-Saharan Africa,409,Non-communicable diseases,808195.5025699999,934187.0678600001,715955.76807,146890090.1647143,550.2042388725712,635.9769177161339,487.4091691734734
238,FLK,Falkland Islands (Malvinas),1,FLK,N,N,Global,409,Non-communicable diseases,38152106.8382,38593829.2535,37618320.252299994,4292110023.370464,888.8893022420779,899.1808001975083,876.452841317415
234,FRO,Faeroe Islands,44562,FRO,Europe,N,Europe,409,Non-communicable diseases,7861157.42246,7881652.4174,7840274.37909,602975377.6112709,1303.7277663977795,1307.1267434872243,1300.2644337070271
831,GGY,Guernsey,44563,GGY,Europe,N,African Region,409,Non-communicable diseases,2161506.7092,2306630.8150000004,2033944.62026,373766303.9035491,578.3043272295032,617.1318256648491,544.1754912141204
