Station ID,Latitude,Longitude,PM25
XCNAQ919,29.5953,105.0331,60.4156
XCNAQ962,27.8847,102.2689,27.4031
XCNAQ961,27.8978,102.2625,24.6087
XCNAQ960,27.8408,102.2714,23.23
XCNAQ963,27.8953,102.2311,32.1535
XCNAQ959,27.8094,102.3419,20.4478
XCNAQ163,36.7305,119.0919,66.6442
XCNAQ078,40.5905,110.0067,52.7329
XCNAQ422,40.5546,110.0377,50.622
XCNAQ079,40.6575,109.8104,52.731
XCNAQ077,40.6532,109.8756,45.6694
XCNAQ365,40.6288,109.8654,52.7209
XCNAQ080,40.6821,109.8538,46.6104
CN_1001A,39.8673,116.366,82.5258
CN_1003A,39.9522,116.434,85.1568
CN_1005A,39.9716,116.473,84.096
CN_1012A,39.9279,116.225,81.4982
CN_1004A,39.8745,116.434,81.0938
CN_1011A,39.9799,116.4,80.1255
CN_1006A,39.9425,116.361,80.4293
CN_1002A,40.2864,116.17,63.9475
CN_1009A,40.3937,116.644,69.9532
CN_1010A,40.1952,116.23,69.2007
CN_1007A,39.9934,116.315,79.6961
CN_1008A,40.1438,116.72,79.8183
XCNAQ275,21.5233,109.1778,31.8861
XCNAQ276,21.4661,109.0981,28.5782
XCNAQ274,21.4086,109.1436,28.5133
XCNAQ277,21.5958,109.2256,34.9716
XCNAQ822,32.6389,110.7258,60.9284
XCNAQ820,32.395,111.0419,41.5302
XCNAQ821,32.6494,110.78,56.9603
XCNAQ823,32.5713,110.8839,49.8602
CN_1154A,32.0144,118.777,56.6304
CN_1159A,32.1049,118.907,52.5483
CN_1158A,32.0092,118.737,61.7546
CN_1153A,32.0723,118.778,57.2462
CN_1157A,32.0964,118.6414,54.6961
CN_1156A,32.0775,118.795,49.8463
CN_1155A,32.0314,118.803,61.3566
CN_1152A,32.0572,118.749,56.3209
CN_1151A,32.1083,118.803,64.9638
XCNAQ288,30.8023,106.0789,60.371
XCNAQ287,30.8217,106.1031,63.9794
XCNAQ284,30.7636,106.0642,59.3217
XCNAQ289,30.8388,106.1087,58.251
XCNAQ285,30.8064,106.056,48.0039
XCNAQ286,30.7856,106.1064,63.7647
CN_1405A,22.7906,108.439,38.4976
CN_1402A,22.8561,108.316,45.3555
CN_1406A,22.8464,108.239,41.7378
CN_1404A,22.805,108.383,35.8959
CN_1403A,22.8225,108.321,38.137
CN_1401A,22.7875,108.301,41.9637
CN_1408A,22.7833,108.244,43.0519
CN_1407A,22.735,108.328,44.2691
XCNAQ734,26.6272,118.1756,27.9148
XCNAQ732,26.6383,118.1694,30.2042
XCNAQ733,26.6514,118.1819,28.824
XCNAQ731,26.6761,118.0966,16.2209
CN_1293A,28.6969,115.973,42.7501
CN_1294A,28.6869,115.852,35.2572
CN_1292A,28.7442,115.813,33.9784
CN_1296A,28.7994,115.742,28.1396
CN_1290A,28.6844,115.893,45.8893
CN_1291A,28.6839,115.8886,45.8288
CN_1298A,28.6844,115.931,38.9527
CN_1297A,28.6131,115.912,53.0498
CN_1295A,28.6425,115.892,47.8585
XCNAQ070,36.0416,111.4916,53.4995
XCNAQ806,33.027,112.5573,64.8846
XCNAQ805,32.9735,112.5003,73.2145
XCNAQ803,32.9917,112.5192,82.6574
XCNAQ807,32.9683,112.55,72.5093
XCNAQ804,33.0122,112.5224,76.5246
XCNAQ1079,44.9079,82.0485,24.3592
XCNAQ1080,44.8969,82.0806,34.7862
CN_1287A,24.4766,118.1513,24.06
CN_1289A,24.5058,118.0936,29.241
CN_1286A,24.818,118.1569,30.3707
CN_1288A,24.4458,118.0636,33.7458
XCNAQ048,22.5862,112.5814,42.3013
XCNAQ482,31.955,119.18,50.3963
XCNAQ483,31.955,119.146,48.7061
CN_1271A,31.8766,117.307,64.3576
CN_1277A,31.7956,117.302,61.2502
CN_1275A,31.9438,117.266,71.2591
CN_1270A,31.7848,117.196,59.9385
CN_1278A,31.7386,117.278,64.2128
CN_1272A,31.8706,117.259,66.0851
CN_1276A,31.8585,117.336,70.141
CN_1273A,31.9051,117.16,63.9601
CN_1274A,31.8572,117.25,68.4202
CN_1279A,31.8403,117.1233,63.7471
XCNAQ768,27.11,114.9739,47.0469
XCNAQ769,27.1311,114.99,39.0745
XCNAQ767,27.0658,114.9817,42.1157
XCNAQ770,27.0983,115.0075,41.0448
XCNAQ1073,42.9559,89.1673,71.3371
XCNAQ1072,42.9409,89.191,60.181
XCNAQ591,37.1494,111.7827,44.3353
XCNAQ1105,37.5135,111.1297,55.2536
XCNAQ240,29.3538,113.0019,48.2777
XCNAQ1063,37.9647,106.1532,52.3363
XCNAQ1065,37.9722,106.196,44.4757
XCNAQ1064,37.9844,106.2025,47.7726
XCNAQ562,33.6347,114.6758,78.3088
XCNAQ564,33.6406,114.6369,78.8375
XCNAQ561,33.6128,114.6613,82.867
XCNAQ563,33.5979,114.6546,81.3246
CN_1095A,40.8061,111.7277,37.3661
CN_1092A,40.8452,111.659,47.4314
CN_1097A,40.7612,111.717,35.4645
CN_1090A,40.7579,111.651,43.7269
CN_1094A,40.8369,111.751,43.8764
CN_1091A,40.8033,111.658,46.793
CN_1096A,40.7866,111.551,43.8492
CN_1093A,40.8144,111.608,42.097
XCNAQ837,29.8539,114.2894,53.4788
XCNAQ836,29.8211,114.3231,55.6056
XCNAQ835,29.8181,114.3036,53.622
XCNAQ838,29.8686,114.3372,56.1757
XCNAQ369,34.3311,108.7144,78.7715
XCNAQ323,34.3181,108.6761,55.9417
XCNAQ324,34.3617,108.7233,55.1207
XCNAQ325,34.3956,108.7197,48.0781
XCNAQ1075,42.8328,93.4961,37.7378
XCNAQ1074,42.8172,93.5128,38.1738
CN_1036A,39.6308,118.1662,80.8941
