fuel_type,Tier,IMOSpeedCode,Load1,NO2_EF_ME,NO2_EF_AE,NO2_EF_AB
HFO,T0,M,0.04,30.872155023123486,14.7,2.1
HFO,T0,M,0.05,25.601290965431588,14.7,2.1
HFO,T0,M,0.06,22.428845350887183,14.7,2.1
HFO,T0,M,0.07,20.346656735369372,14.7,2.1
HFO,T0,M,0.08,18.893834013705767,14.7,2.1
HFO,T0,M,0.09,17.832889698157224,14.7,2.1
HFO,T0,M,0.1,17.030302154752576,14.7,2.1
HFO,T0,M,0.11,16.405835718335766,14.7,2.1
HFO,T0,M,0.12,15.908673251257637,14.7,2.1
HFO,T0,M,0.13,15.505228863816342,14.7,2.1
HFO,T0,M,0.14,15.172508406386601,14.7,2.1
HFO,T0,M,0.15,14.894294990400862,14.7,2.1
HFO,T0,M,0.16,14.658858007211489,14.7,2.1
HFO,T0,M,0.17,14.457524282600964,14.7,2.1
HFO,T0,M,0.18,14.28375754721864,14.7,2.1
HFO,T0,M,0.19,14.13254841648329,14.7,2.1
HFO,T0,M,0.2,14.000000000000004,14.7,2.1
HFO,T0,M,0.21,14.0,14.7,2.1
HFO,T0,M,0.22,14.0,14.7,2.1
HFO,T0,M,0.23,14.0,14.7,2.1
HFO,T0,M,0.24,14.0,14.7,2.1
HFO,T0,M,0.25,14.0,14.7,2.1
HFO,T0,M,0.26,14.0,14.7,2.1
HFO,T0,M,0.27,14.0,14.7,2.1
HFO,T0,M,0.28,14.0,14.7,2.1
HFO,T0,M,0.29,14.0,14.7,2.1
HFO,T0,M,0.3,14.0,14.7,2.1
HFO,T0,M,0.31,14.0,14.7,2.1
HFO,T0,M,0.32,14.0,14.7,2.1
HFO,T0,M,0.33,14.0,14.7,2.1
HFO,T0,M,0.34,14.0,14.7,2.1
HFO,T0,M,0.35,14.0,14.7,2.1
HFO,T0,M,0.36,14.0,14.7,2.1
HFO,T0,M,0.37,14.0,14.7,2.1
HFO,T0,M,0.38,14.0,14.7,2.1
HFO,T0,M,0.39,14.0,14.7,2.1
HFO,T0,M,0.4,14.0,14.7,2.1
HFO,T0,M,0.41,14.0,14.7,2.1
HFO,T0,M,0.42,14.0,14.7,2.1
HFO,T0,M,0.43,14.0,14.7,2.1
HFO,T0,M,0.44,14.0,14.7,2.1
HFO,T0,M,0.45,14.0,14.7,2.1
HFO,T0,M,0.46,14.0,14.7,2.1
